##species_taxonomy_id	orthgroup_id	count
287	COG0583	125
287	COG0477	64
287	COG2207	49
287	COG1309	45
287	COG1028	43
287	COG1960	36
287	COG0642	35
287	COG0745	33
287	COG0834	31
287	COG0840	26
287	COG0500	25
287	COG2197	25
287	COG0784	23
287	COG0845	23
287	COG0454	22
287	COG1917	21
287	COG2199	21
287	COG1538	20
287	COG0438	20
292	COG0583	231
292	COG0477	130
292	COG1028	78
292	COG2207	50
292	COG1309	46
292	COG3203	45
292	COG1012	42
292	COG0745	42
292	COG2271	38
292	COG1960	35
292	COG0454	35
292	COG0834	35
292	COG1538	33
292	COG0642	30
292	COG4977	27
292	COG0697	27
292	COG0665	26
292	COG1522	26
292	COG2197	26
292	COG0438	25
292	COG1846	25
292	COG1280	24
292	COG0346	24
292	COG0625	23
292	COG0845	23
292	COG0596	22
292	COG1414	22
292	COG1024	21
292	COG0715	21
292	COG1167	20
292	COG0457	20
292	COG0318	20
292	COG0683	20
292	COG1396	20
301	COG0583	76
301	COG0840	47
301	COG2199	44
301	COG0834	42
301	COG2207	33
301	COG0642	33
301	COG1028	29
301	COG0745	29
301	COG1309	28
301	COG1960	22
301	COG0454	22
301	COG0477	22
301	COG0845	20
340	COG1629	53
340	COG2801	37
340	COG0583	35
340	COG2963	33
340	COG0477	29
340	COG1028	25
340	COG0642	25
340	COG2199	24
340	COG0745	23
340	COG0840	23
340	COG0784	22
340	COG3293	20
359	COG0583	111
359	COG1028	70
359	COG0477	53
359	COG3842	49
359	COG0747	47
359	COG0601	44
359	COG1173	44
359	COG1309	40
359	COG0765	38
359	COG1802	37
359	COG2207	36
359	COG1846	36
359	COG2141	35
359	COG1653	35
359	COG0454	35
359	COG0665	34
359	COG0834	33
359	COG0346	32
359	COG0745	32
359	COG1175	32
359	COG0395	31
359	COG1879	30
359	COG0642	28
359	COG0673	28
359	COG1172	27
359	COG1609	26
359	COG1123	26
359	COG1396	25
359	COG0667	25
359	COG0697	25
359	COG1129	25
359	COG1126	24
359	COG1012	22
359	COG0438	22
359	COG1522	22
359	COG1082	21
359	COG0845	21
359	COG0715	21
394	COG0583	35
394	COG1028	31
394	COG0477	22
394	COG0745	20
470	COG3293	80
470	COG1234	75
470	COG0583	52
470	COG3385	48
470	COG1309	44
470	COG0477	44
470	COG1960	29
470	COG1028	27
470	COG1012	26
470	COG2207	26
511	COG0583	76
511	COG0477	51
511	COG3181	29
511	COG1028	29
511	COG0745	24
511	COG2207	24
511	COG0697	20
511	COG1309	20
549	COG0583	89
549	COG0477	75
549	COG0454	31
549	COG0840	31
549	COG1309	30
549	COG2207	26
549	COG1609	25
549	COG1028	24
549	COG0834	21
549	COG2271	20
571	COG0583	93
571	COG0477	76
571	COG3539	45
571	COG2207	38
571	COG1609	35
571	COG1028	32
571	COG2271	31
571	COG2963	28
571	COG3039	27
571	COG0454	25
571	COG0834	25
571	COG0765	24
571	COG2801	23
571	COG1309	22
571	COG0642	21
571	COG2197	21
573	COG0583	111
573	COG0477	78
573	COG2207	37
573	COG0454	32
573	COG1309	31
573	COG1609	30
573	COG1028	27
573	COG0834	26
573	COG2271	26
573	COG0642	23
573	COG3539	22
573	COG1012	22
573	COG0745	21
573	COG0765	20
573	COG2199	20
585	COG3539	35
585	COG0583	34
585	COG0477	31
585	COG2207	20
633	COG0583	34
633	COG0477	28
672	COG0583	61
672	COG0840	50
672	COG2199	46
672	COG3335	39
672	COG3415	37
672	COG0642	30
672	COG0745	22
672	COG0697	22
672	COG0784	20
672	COG5001	20
672	COG2207	20
882	COG4191	33
882	COG2204	32
882	COG0840	29
882	COG0784	24
882	COG0457	23
882	COG0745	22
882	COG2199	20
883	COG0840	40
883	COG2204	38
883	COG4191	30
883	COG0457	29
883	COG0834	23
883	COG0642	23
883	COG2199	22
883	COG0438	21
883	COG0745	20
991	COG2207	70
991	COG1629	62
991	COG0457	57
991	COG0454	35
991	COG0845	28
991	COG1538	27
991	COG0664	22
991	COG3637	22
991	COG1680	21
991	COG0477	21
991	COG3291	21
1044	COG1028	24
1044	COG1629	22
1140	COG0457	24
1147	COG0457	41
1147	COG4636	31
1147	COG0642	30
1147	COG0745	29
1147	COG0438	28
1147	COG2199	25
1147	COG2203	20
1148	COG4636	40
1148	COG0457	34
1148	COG0642	32
1148	COG0745	27
1148	COG3293	27
1148	COG3335	27
1148	COG2199	25
1148	COG2203	23
1148	COG0438	23
1148	COG3415	23
1274	COG0477	28
1280	COG0477	26
1288	COG0477	34
1288	COG0454	21
1346	COG2801	30
1346	COG2963	24
1396	COG0477	59
1396	COG0454	52
1396	COG1670	36
1396	COG1309	34
1396	COG0745	31
1396	COG0500	29
1396	COG0346	28
1396	COG0697	28
1396	COG0577	25
1396	COG1051	24
1396	COG1131	24
1396	COG0640	22
1396	COG0457	21
1396	COG1846	21
1396	COG0642	20
1405	COG0454	55
1405	COG0477	47
1405	COG1670	39
1405	COG0745	34
1405	COG1131	32
1405	COG0697	30
1405	COG0642	26
1405	COG1051	25
1405	COG1028	21
1405	COG0577	21
1405	COG5263	20
1405	COG1309	20
1405	COG0346	20
1405	COG5002	20
1507	COG1957	48
1507	COG1396	27
1507	COG1132	27
1507	COG0454	21
1507	COG1595	21
1507	COG1473	21
1511	COG0840	22
1680	COG1609	20
1713	COG0477	37
1713	COG1309	36
1713	COG0454	23
1713	COG2197	21
1828	COG1309	97
1828	COG0477	89
1828	COG1028	56
1828	COG2141	55
1828	COG1960	42
1828	COG1846	38
1828	COG1020	38
1828	COG0583	34
1828	COG0346	33
1828	COG2267	32
1828	COG2197	28
1828	COG1012	27
1828	COG1024	25
1828	COG0614	25
1828	COG0318	24
1828	COG1073	23
1828	COG0596	22
1828	COG1463	21
1828	COG0789	20
1869	COG1309	102
1869	COG2197	68
1869	COG0477	55
1869	COG0745	53
1869	COG1595	51
1869	COG1028	48
1869	COG2141	47
1869	COG1846	42
1869	COG4585	42
1869	COG0454	41
1869	COG1131	41
1869	COG0642	40
1869	COG0840	35
1869	COG1960	33
1869	COG2203	33
1869	COG0640	32
1869	COG0789	32
1869	COG0515	31
1869	COG0500	30
1869	COG0438	29
1869	COG1609	28
1869	COG1653	28
1869	COG0457	28
1869	COG2199	27
1869	COG1175	27
1869	COG1396	27
1869	COG0395	26
1869	COG2172	25
1869	COG0346	25
1869	COG0596	25
1869	COG1366	25
1869	COG1132	23
1869	COG5001	23
1869	COG2208	23
1869	COG1012	22
1869	COG2267	22
1869	COG0583	21
1869	COG0318	20
1869	COG0842	20
1869	COG1073	20
1894	COG1309	131
1894	COG0477	124
1894	COG2197	83
1894	COG1846	70
1894	COG1020	66
1894	COG3321	60
1894	COG1595	52
1894	COG1028	50
1894	COG2208	46
1894	COG4585	46
1894	COG0583	45
1894	COG0454	44
1894	COG2124	40
1894	COG0596	40
1894	COG1396	40
1894	COG1131	37
1894	COG0515	34
1894	COG0346	34
1894	COG0654	34
1894	COG0640	33
1894	COG0642	33
1894	COG0457	31
1894	COG0789	31
1894	COG1670	30
1894	COG0604	30
1894	COG0745	29
1894	COG2203	29
1894	COG2172	28
1894	COG2267	28
1894	COG1960	27
1894	COG0500	27
1894	COG0667	26
1894	COG2141	25
1894	COG1136	24
1894	COG2207	24
1894	COG0589	23
1894	COG1680	22
1894	COG1073	22
1894	COG1051	20
1894	COG0531	20
1894	COG0791	20
1894	COG0451	20
1896	COG1309	86
1896	COG0477	84
1896	COG2197	53
1896	COG0515	47
1896	COG1846	46
1896	COG2208	45
1896	COG0454	41
1896	COG1595	37
1896	COG1020	34
1896	COG0457	33
1896	COG4585	31
1896	COG1396	30
1896	COG0500	30
1896	COG1960	29
1896	COG1131	29
1896	COG1028	28
1896	COG0346	28
1896	COG0789	28
1896	COG0583	26
1896	COG0642	25
1896	COG2141	22
1896	COG2172	21
1896	COG0745	21
1896	COG2203	21
1896	COG0438	20
1906	COG1309	68
1906	COG1396	49
1906	COG2197	46
1906	COG0477	42
1906	COG2172	36
1906	COG0515	35
1906	COG1595	35
1906	COG4585	35
1906	COG1028	34
1906	COG1846	33
1906	COG2124	31
1906	COG1012	31
1906	COG2208	29
1906	COG0500	28
1906	COG0457	27
1906	COG0745	25
1906	COG1653	24
1906	COG1960	24
1906	COG0454	24
1906	COG1609	23
1906	COG1131	23
1906	COG0438	22
1906	COG0642	22
1906	COG0346	21
1907	COG1309	87
1907	COG0477	81
1907	COG1846	50
1907	COG2197	48
1907	COG2208	45
1907	COG1595	42
1907	COG0515	39
1907	COG0454	37
1907	COG2172	33
1907	COG1396	32
1907	COG1028	31
1907	COG0457	31
1907	COG4585	30
1907	COG0346	28
1907	COG1960	27
1907	COG2203	27
1907	COG2141	26
1907	COG1609	26
1907	COG0500	26
1907	COG0583	26
1907	COG0596	25
1907	COG1131	25
1907	COG0395	24
1907	COG1653	23
1907	COG1670	23
1907	COG1175	22
1907	COG0789	22
1907	COG0642	22
1907	COG0745	21
1944	COG1309	97
1944	COG0477	93
1944	COG1028	58
1944	COG1846	50
1944	COG2197	48
1944	COG1396	40
1944	COG0515	38
1944	COG0454	37
1944	COG0457	36
1944	COG0500	34
1944	COG4585	33
1944	COG1960	31
1944	COG1609	30
1944	COG2208	30
1944	COG1131	29
1944	COG1595	28
1944	COG1012	26
1944	COG2267	25
1944	COG2172	24
1944	COG0583	24
1944	COG0642	23
1944	COG1051	22
1944	COG1653	22
1944	COG0596	22
1944	COG1132	21
1944	COG0318	21
1944	COG0346	21
1944	COG0745	21
1944	COG0789	21
1944	COG2124	20
1944	COG0395	20
1957	COG1309	71
1957	COG0477	63
1957	COG2197	56
1957	COG1846	42
1957	COG2172	36
1957	COG1028	35
1957	COG0515	34
1957	COG4585	34
1957	COG1595	33
1957	COG0642	32
1957	COG1960	31
1957	COG2208	31
1957	COG1396	30
1957	COG0454	29
1957	COG0745	28
1957	COG1131	27
1957	COG2203	26
1957	COG0457	24
1957	COG0500	24
1957	COG1012	23
1957	COG0346	23
1957	COG0438	23
1957	COG0583	22
1957	COG1609	21
1957	COG2141	20
1957	COG0318	20
1957	COG0789	20
1961	COG1309	93
1961	COG0477	93
1961	COG2197	63
1961	COG0454	53
1961	COG2208	52
1961	COG0515	51
1961	COG1846	48
1961	COG1028	44
1961	COG1595	43
1961	COG4585	41
1961	COG1960	39
1961	COG2124	36
1961	COG0500	36
1961	COG0583	36
1961	COG0596	35
1961	COG0346	33
1961	COG1670	32
1961	COG0457	31
1961	COG1020	31
1961	COG0789	30
1961	COG1131	30
1961	COG1680	28
1961	COG0642	28
1961	COG2141	25
1961	COG1012	25
1961	COG1396	25
1961	COG0654	25
1961	COG2172	24
1961	COG0745	24
1961	COG2203	24
1961	COG1404	24
1961	COG0726	24
1961	COG0318	22
1961	COG1051	21
1961	COG1024	21
1961	COG2267	21
1968	COG1309	145
1968	COG0477	129
1968	COG1028	103
1968	COG2141	75
1968	COG1846	73
1968	COG2197	68
1968	COG0395	63
1968	COG1609	59
1968	COG1175	59
1968	COG1653	58
1968	COG1396	56
1968	COG1595	54
1968	COG0515	49
1968	COG1960	48
1968	COG4585	46
1968	COG2208	43
1968	COG0346	41
1968	COG1012	39
1968	COG0454	39
1968	COG0500	39
1968	COG1131	39
1968	COG2172	38
1968	COG0745	34
1968	COG0583	33
1968	COG1940	31
1968	COG0457	31
1968	COG2267	29
1968	COG2203	29
1968	COG0596	29
1968	COG0604	29
1968	COG0642	28
1968	COG0667	28
1968	COG1414	28
1968	COG2124	27
1968	COG0673	27
1968	COG1024	26
1968	COG0318	26
1968	COG0654	26
1968	COG2207	25
1968	COG0789	25
1968	COG1082	23
1968	COG0183	23
1968	COG0640	23
1968	COG1215	22
1968	COG0491	22
1968	COG0842	21
1968	COG0366	21
1968	COG3266	20
1968	COG1670	20
1968	COG1063	20
1996	COG0477	104
1996	COG1309	96
1996	COG2197	57
1996	COG1028	49
1996	COG1846	49
1996	COG1595	46
1996	COG1960	45
1996	COG0515	41
1996	COG0454	41
1996	COG0346	36
1996	COG1131	36
1996	COG2208	35
1996	COG4585	35
1996	COG0457	34
1996	COG0583	32
1996	COG0640	30
1996	COG2124	28
1996	COG0789	28
1996	COG1020	28
1996	COG0596	27
1996	COG0500	24
1996	COG0642	24
1996	COG1670	23
1996	COG2141	22
1996	COG2172	22
1996	COG0589	22
1996	COG0745	22
1996	COG2207	22
1996	COG1012	21
1996	COG2267	21
1996	COG1396	20
2002	COG1309	138
2002	COG0477	107
2002	COG1020	91
2002	COG0515	72
2002	COG2197	71
2002	COG1595	68
2002	COG1028	67
2002	COG4585	57
2002	COG1846	55
